Manufacturer Part Number （*）,Manufacturer,Designator（*）,Qty （*）,Description,Case,Type（SMD/THT),Top/Bottom,Comment
X322518432MSB4SI,Yangxing Technology,"Y1,Y2",2,Crystal_SMD_3225-4Pin_3.2x2.5mm,SMD_3225-4Pin,SMD,Top,12Mhz
0402CG330J500NT,FengHua,"C28,C27,C13,C14",4,C_0402_1005Metric,C_0402_1005Metric,SMD,Top,33p
CL05A105KA5NQNC,Samsung,"C5,C19,C4,C18",4,C_0402_1005Metric,C_0402_1005Metric,SMD,Top,1u
0402WGF1501TCE,UNI-ROYAL,"R13,R6",2,R_0402_1005Metric,R_0402_1005Metric,SMD,Top,1k5
"GZ1608D601TF
","Sunlord
","FB1,FB2",2,R_0603_1608Metric,R_0603_1608Metric,SMD,Top,120R
"USBLC6-2SC6

",UMW,"U6,U7,U2,U3",4,SOT-23-6,SOT-23-6,SMD,Top,USBLC6-2SC6
"
0402WGF1002TCE
",UNI-ROYAL,"R3,R12,R5,R4,R7,R14,R10,R11",8,R_0402_1005Metric,R_0402_1005Metric,SMD,Top,10k
"STM32F103RCT6TR
",STMicroelectronics,"U4,U8",2,LQFP-64_10x10mm_P0.5mm,LQFP-64_10x10mm_P0.5mm,SMD,Top,STM32
0402WGF5101TCE,"UNI-ROYAL
","R2,R8,R1,R9",4,R_0402_1005Metric,R_0402_1005Metric,SMD,Top,5k1
"CL10A226MQ8NRNC
","Samsung
","C1,C16,C2,C15",4,C_0603_1608Metric,C_0603_1608Metric,SMD,Top,22u
"AMS1117-3.3
",AMS,"U1,U5",2,AMS1117-3.3,SOT-223-3_TabPin2,SMD,Top,Reg
CL05B104KO5NNNC,Samsung,"C24,C11,C25,C22,C8,C7,C10,C12,C26,C9,C21,C23",12,C_0402_1005Metric,C_0402_1005Metric,SMD,Top,100n
KT-0603W,Kento,"D2,D1",2,LED_0603_1608Metric,LED_0603_1608Metric,SMD,Top,White
"CL10A106MA8NRNC
",Samsung,"C20,C6",2,C_0603_1608Metric,C_0603_1608Metric,SMD,Top,10u
"TYPE-C-31-M-12
",HRO,"J1,J5",2,USB_TYPE-C-31-M-12,USB_TYPE-C-31-M-12,SMD,Top,USB C
"CL05B103KB5NNNC
",Samsung,"C17,C3",2,C_0402_1005Metric,C_0402_1005Metric,SMD,Top,10n
